smiles,strong_interaction,attn_value,cluster_id
c1ccc(Oc2ccccc2)cc1,1,0.6550455143065693,7
C=C(C)[C@H]1CC=C(C)CC1,1,0.575747972047244,0
CSCCCO,1,0.5488260725,1
CC(C)c1ccc(CO)cc1,1,0.6540600433333333,5
Cc1ccc(C(C)C)cc1,1,0.5325444441379309,5
CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,1,0.5238262953846154,4
CC(C)CCS,1,0.5994648,1
CC(=O)c1ccccn1,1,0.5855553501136364,4
CCCS,1,0.5875021425675677,1
Cc1c[nH]c2ccccc12,1,0.531305736304348,4
CSCSC,1,0.624918233181818,1
CCCSCCC,1,0.5755934047876448,1
OC1CCCCC1,1,0.5140081999999999,5
C=C1CC[C@H]2C[C@@H]1C2(C)C,1,0.6082363767191601,0
CCSSCC,1,0.63033056,1
Cc1ccccc1C=O,1,0.5897508173333332,4
c1ccsc1,1,0.5335997336363637,1
COc1ccccc1OC(=O)Cc1ccccc1,1,0.64020777,4
c1ccc2[nH]ccc2c1,1,0.5193734704999999,4
CSSSC,1,0.5902650966003975,1
C1CCSC1,1,0.6223803685227273,1
c1ccc(COCc2ccccc2)cc1,1,0.55756645,4
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,1,0.6416008518666666,0
CC(C)c1ccc(C=O)cc1,1,0.5906127710638297,5
Cc1ccc(O)cc1,1,0.5448042237362637,5
COC(=O)c1ccccc1,1,0.516019776,4
O=Cc1ccc(O)cc1,1,0.650986015,4
Cc1ccccc1,1,0.5532467766666667,4
O=C(O)CSCC(=O)O,1,0.5938333250000001,0
CC(=O)Oc1ccc(C)cc1,1,0.539408,4
C#Cc1ccccc1,1,0.5461059737974685,0
CC(C)=CCC[C@H](C)CCO,1,0.5247415814705884,0
O=C(Cc1ccccc1)Cc1ccccc1,1,0.5219489,4
CC1=CC[C@@H](C(C)(C)O)CC1,1,0.5010036,0
CC1=CCC(C(C)C)C=C1,1,0.5281501389189192,5
CSSC,1,0.5339673654838709,1
CC(C)=CCC/C(C)=C/CO,1,0.5375746600000002,0
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,1,0.6512066561420612,0
Cc1ccc2ncccc2c1,1,0.5528336507185628,4
CCC(C)S,1,0.6082060598214286,1
C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,1,0.5988780045977011,0
CC1=CCC2CC1C2(C)C,1,0.557183116407767,5
Cc1ccc(C(C)C)c(O)c1,1,0.6115857668085106,5
CCCCCCCC(C)O,1,0.50913796,7
O=Cc1ccccc1,1,0.6068973011267604,4
C=C[C@](C)(O)CCC=C(C)C,1,0.5623719244444445,0
COc1ccc(C=O)cc1,1,0.5851735732727272,4
CC/C=C1\OC(=O)c2ccccc21,1,0.6680845519444445,0
Cc1nccnc1C,1,0.5318763,6
CC(=O)c1ccccc1,1,0.5491451368421053,4
CCOC(=O)c1ccccc1,1,0.50391066,4
c1ccc(CSSCc2ccccc2)cc1,1,0.59332343625,6
O=Cc1ccccc1O,1,0.7180005,5
CC1=CC(=O)CC(C)(C)C1,1,0.5556648313772455,5
CC(C)=CCCC(C)CCO,1,0.5370358333333333,7
C/C=C/c1ccc(OC)c(OC)c1,1,0.52169815,0
Cc1cc(O)c(C(C)C)cc1Cl,1,0.5860805106666667,0
CCSCC,1,0.5479907941176471,1
CCCCSCCCC,1,0.6051274435179154,7
O=c1ccc2ccccc2o1,1,0.627466,4
CC(C)(O)CCc1ccccc1,1,0.5467040195238095,7
CC/C=C1/OC(=O)c2ccccc21,1,0.6996722263636364,0
COc1cc(C)ccc1C(C)C,1,0.5596626,5
SCc1ccco1,1,0.5483677157894737,6
CC12CCC(CC1)C(C)(C)O2,1,0.5269095185714284,5
CC(=O)c1ccccc1N,1,0.59322974,4
CCCCCCCCCC(=O)O,0,0.06334297179078015,3
CC(=O)C(C)O,0,0.08459689824920127,7
CC(O)C(=O)O,0,0.05597151045454546,3
CCCO,0,0.1208403288,6
CCCC(C)O,0,0.16555290111111112,6
CCCCCCO,0,0.1972050715625,6
CCCC(=O)OC(C)(C)Cc1ccccc1,0,0.22554463,7
C=CCCC(=O)O,0,0.05377753193842887,3
CCCCC(=O)OCC,0,0.10116345553763441,2
CCCC(=O)CC,0,0.15335720747368423,2
CCC(C)C=O,0,0.1663463325,6
COc1cc(C=O)ccc1O,0,0.09436604800000001,4
CCCCCC(C)=O,0,0.14545882550561795,7
CCC(C)=O,0,0.16806158,2
CCCCCCCC(=O)OC,0,0.11807099596527776,7
CC(C)O,0,0.11797565372972973,6
CCCCCOC(=O)CCCC,0,0.15612526435000001,2
COc1ccccc1,0,0.13796154333333333,2
CCOC(=O)CCSCc1ccco1,0,0.13971648833333333,1
C=CC(CCCCC)OC(C)=O,0,0.08763905,7
CCc1cnccn1,0,0.15903409000000002,6
CC(C)CC=O,0,0.096975527605,6
CCOC(=O)CCC(=O)OCC,0,0.07501753169387754,2
CCC/C=C/C=O,0,0.19313173818181817,0
CCC(OC)OC,0,0.0730494055,2
CCCOC(=O)CCC,0,0.120506695,2
CCCCCCCC1CCC(=O)O1,0,0.08113019634146343,7
CCCCCC(C)O,0,0.165195202,7
CCCC(=O)OC,0,0.10987025491304346,2
CCCC(=O)OCC,0,0.12751531334615387,2
CCCCOC(C)=O,0,0.15621382912765958,2
CCOC=O,0,0.10345329125688071,2
CCCCCCCCCCC(=O)O,0,0.029177928000000002,7
CCCCC/C=C/C=C/C=O,0,0.081860796,0
CCCCCCOC(=O)CCCCC,0,0.17479410276190477,7
CCOC(=O)CC,0,0.12674054695454545,2
CCCCNCCCC,0,0.18534651666666668,0
CC(=O)C=C(C)C,0,0.16948683199999998,6
CC(C)CO,0,0.067386209,2
CCCC=O,0,0.10374964348765431,6
CCCCCC(=O)O,0,0.07227913220799999,3
CCCCCCCCCC(=O)OCC,0,0.11534920919480521,7
CCOC(=O)C1OC1(C)c1ccccc1,0,0.09048283009090909,4
CC(C)=O,0,0.1132002836707317,2
CCCCCCC=O,0,0.17399870833333334,7
COc1ccc(C)cc1,0,0.2157396,7
CCOC(=O)C(C)O,0,0.06272678910026386,2
CCOC(C)=O,0,0.18446935000000003,2
COC(C)=O,0,0.055614516,2
CCCCCO,0,0.193750475,6
CCCCC(=O)O,0,0.07081320662721893,3
CCCCCCCCC(C)=O,0,0.17463671666666666,4
CC(=O)O,0,0.07424035864242425,3
CCCCCOC(C)=O,0,0.14877048542857144,2
CCCCCCCO,0,0.19686203000000002,7
CCCCC=O,0,0.13210260375,6
CCCCCC=O,0,0.11697071299999999,7
CC/C=C\CCOC(=O)C(C)O,0,0.042442107500000006,0
CCC(=O)OC,0,0.11441310446846846,2
CC(=O)C(=O)O,0,0.07278282558730158,3
C=CCOC(=O)CCCCC,0,0.1241829272063492,2
CC(CC=O)CCCC(C)(C)O,0,0.04894701,7
CCCCCCCCCOC(C)=O,0,0.14330592020000002,7
C=CCCCCCCCCC(=O)O,0,0.03956366008888888,7
CC/C=C/CCO,0,0.18246088655172413,0
C=CC(O)CC,0,0.14043589,7
CCC(=O)O,0,0.032741318625,3
CCCC(O)CC(=O)OCC,0,0.08320000642857142,5
CCC/C=C/CO,0,0.17493617131578948,0
CCC1OC(=O)C(O)=C1C,0,0.106798242,4
CCCCCC1CCC(=O)O1,0,0.08213906448076926,7
CC(C)C=O,0,0.102296552,6
CCC=O,0,0.10209091642222222,6
CCCC(=O)SC,0,0.12688842549999998,1
CC(C)CC(=O)O,0,0.09715633070588237,3
O=C(O)/C=C/C(=O)O,0,0.08235315,0
CC(=O)OCCC(C)C,0,0.20720147249999998,2
C/C=C/C=C/C(=O)OCC,0,0.119965926,0
CCCCCC(=O)OCC,0,0.102671864497006,2
CCCCCCCC(=O)OCC,0,0.1566854767363636,7
CC(C)C(=O)O,0,0.07177067038403989,3
CC=O,0,0.06915339045208846,6
CCCC(C)=O,0,0.15037343444444443,2
CCCCCOC(=O)CCC,0,0.16435474736842104,2
CCCCCCCCCCC=O,0,0.061939046,7
CCOC(C)OCC,0,0.14293489333333334,6
CN(C)C,0,0.171948458,6
CCCC(=O)O,0,0.09000077652380951,3
