metric,value,split,fname
pearson,0.7624430060386658,cv,CheMix CV
pearson,0.7333318591117859,cv,CheMix CV
pearson,0.7504764795303345,cv,CheMix CV
pearson,0.7885919213294983,cv,CheMix CV
pearson,0.697477400302887,cv,CheMix CV
rmse,0.1344282478094101,cv,CheMix CV
rmse,0.1261029690504074,cv,CheMix CV
rmse,0.12834951281547546,cv,CheMix CV
rmse,0.11975216120481491,cv,CheMix CV
rmse,0.13919095695018768,cv,CheMix CV
kendall,0.5437350273132324,cv,CheMix CV
kendall,0.5393233299255371,cv,CheMix CV
kendall,0.5482295155525208,cv,CheMix CV
kendall,0.5975571870803833,cv,CheMix CV
kendall,0.49617311358451843,cv,CheMix CV
pearson,0.698063313961029,lso,CheMix LMO
pearson,0.6530752182006836,lso,CheMix LMO
pearson,0.6336813569068909,lso,CheMix LMO
pearson,0.5793861150741577,lso,CheMix LMO
pearson,0.5895146131515503,lso,CheMix LMO
rmse,0.14294511079788208,lso,CheMix LMO
rmse,0.13617083430290222,lso,CheMix LMO
rmse,0.14173144102096558,lso,CheMix LMO
rmse,0.15764227509498596,lso,CheMix LMO
rmse,0.15543687343597412,lso,CheMix LMO
kendall,0.5042170882225037,lso,CheMix LMO
kendall,0.441968709230423,lso,CheMix LMO
kendall,0.44422945380210876,lso,CheMix LMO
kendall,0.32979127764701843,lso,CheMix LMO
kendall,0.3744146525859833,lso,CheMix LMO
pearson,0.8084574937820435,cv,POM-Mix CV
pearson,0.7607255578041077,cv,POM-Mix CV
pearson,0.7719222903251648,cv,POM-Mix CV
pearson,0.8136652708053589,cv,POM-Mix CV
pearson,0.7402613162994385,cv,POM-Mix CV
rmse,0.11962229013442993,cv,POM-Mix CV
rmse,0.11407601088285446,cv,POM-Mix CV
rmse,0.12339283525943756,cv,POM-Mix CV
rmse,0.11348114162683487,cv,POM-Mix CV
rmse,0.12148801982402802,cv,POM-Mix CV
kendall,0.6155935525894165,cv,POM-Mix CV
kendall,0.5919854640960693,cv,POM-Mix CV
kendall,0.5857819318771362,cv,POM-Mix CV
kendall,0.6256163120269775,cv,POM-Mix CV
kendall,0.56241375207901,cv,POM-Mix CV
pearson,0.727813184261322,lso,POM-Mix LMO
pearson,0.7102774977684021,lso,POM-Mix LMO
pearson,0.7067263722419739,lso,POM-Mix LMO
pearson,0.6988909840583801,lso,POM-Mix LMO
pearson,0.6629043221473694,lso,POM-Mix LMO
rmse,0.13947471976280212,lso,POM-Mix LMO
rmse,0.12290779501199722,lso,POM-Mix LMO
rmse,0.1295599490404129,lso,POM-Mix LMO
rmse,0.1252945363521576,lso,POM-Mix LMO
rmse,0.11915124952793121,lso,POM-Mix LMO
kendall,0.5128645896911621,lso,POM-Mix LMO
kendall,0.5074005126953125,lso,POM-Mix LMO
kendall,0.5153627395629883,lso,POM-Mix LMO
kendall,0.4763096272945404,lso,POM-Mix LMO
kendall,0.4547485113143921,lso,POM-Mix LMO
